Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
104,1966,species,Band-tailed Pigeon,Patagioenas fasciata,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
105,900,species,Andean Guan,Penelope montagnii,2,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
106,855,species,Sickle-winged Guan,Chamaepetes goudotii,2,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
107,2400,species,Eared Dove,Zenaida auriculata,4,"Manizales-Río Blanco, Caldas, CO (5.068, -75.46)",CO-CAL,03 Aug 2026,L75326268,S381695493,,1
108,16519,species,Cinnamon Flycatcher,Pyrrhomyias cinnamomeus,,"Vía Nevado del Ruiz, Caldas",CO-CAL,02 Aug 2026,L74872233,S379118337,,1
109,34384,species,Golden-fronted Redstart,Myioborus ornatus,,"Vía al Parque Nacional Los Nevados, Caldas",CO-CAL,02 Aug 2026,L74844809,S379119741,,1
110,9592,species,Masked Trogon,Trogon personatus,,"Vía al Parque Nacional Los Nevados, Caldas",CO-CAL,01 Aug 2026,L74844809,S378962747,,1
111,10876,species,Black-billed Mountain-Toucan,Andigena nigrirostris,,"2-12 Calle 2, Murillo, Tolima",CO-TOL,30 Jul 2026,L74511039,S378162377,,1
112,9505,species,Golden-headed Quetzal,Pharomachrus auriceps,,"2-12 Calle 2, Murillo, Tolima",CO-TOL,30 Jul 2026,L74511039,S377988142,,1
113,28677,species,Great Thrush,Turdus fuscater,,"2-12 Calle 2, Murillo, Tolima",CO-TOL,28 Jul 2026,L74511039,S377447361,,1
114,4667,species,Sword-billed Hummingbird,Ensifera ensifera,,"2-12 Calle 2, Murillo, Tolima",CO-TOL,28 Jul 2026,L74511039,S377421994,,1
115,35330,species,Masked Flowerpiercer,Diglossa cyanea,,"2-12 Calle 2, Murillo, Tolima",CO-TOL,27 Jul 2026,L74511039,S377076844,,1
116,4623,species,Collared Inca,Coeligena torquata,,"2-12 Calle 2, Murillo, Tolima",CO-TOL,27 Jul 2026,L74511039,S377074007,,1
117,4471,species,Long-tailed Sylph,Aglaiocercus kingii,,"2-12 Calle 2, Murillo, Tolima",CO-TOL,27 Jul 2026,L74511039,S377077666,,1
118,4354,species,Sparkling Violetear,Colibri coruscans,,"2-12 Calle 2, Murillo, Tolima",CO-TOL,27 Jul 2026,L74511039,S377068740,,1
119,12996,species,Spectacled Parrotlet,Forpus conspicillatus,,curiti,CO-SAN,19 Jun 2026,L70621661,S359609255,,1
120,35477,species,Saffron Finch,Sicalis flaveola,,cutiti,CO-SAN,17 Jun 2026,L70442938,S358804416,,1
121,33613,species,Russet-backed Oropendola,Psarocolius angustifrons,,florian,CO-SAN,08 Jun 2026,L69492953,S354649547,,1
122,35819,species,Streaked Saltator,Saltator striatipectus,,finca san luis,CO-BOY,06 Jun 2026,L69204963,S353402951,,1
123,34820,species,Crimson-backed Tanager,Ramphocelus dimidiatus,,finca san luis,CO-BOY,06 Jun 2026,L69204963,S353445683,,1
124,17387,species,Rusty-margined Flycatcher,Myiozetetes cayanensis,,finca san luis,CO-BOY,06 Jun 2026,L69204963,S353401780,,1
125,16698,species,Yellow-bellied Elaenia,Elaenia flavogaster,,finca san luis,CO-BOY,06 Jun 2026,L69204963,S353475485,,1
126,13140,species,Blue-and-yellow Macaw,Ara ararauna,,rio magdelena,CO-ANT,03 Jun 2026,L68886766,S351972193,,1
127,9880,species,Andean Motmot,Momotus aequatorialis,,motmot,CO-ANT,02 Jun 2026,L68748794,S351323910,,1
128,9508,species,Resplendent Quetzal,Pharomachrus mocinno,,quetzel,CR-SJ,06 May 2026,L65210492,S333776966,,1
129,13187,species,Crimson-fronted Parakeet,Psittacara finschi,,san jose,CR-SJ,02 May 2026,L64728446,S331327367,,1
130,11966,species,Yellow-headed Caracara,Daptrius chimachima,,caracara,CR-SJ,29 Apr 2026,L64333829,S329426995,,1
131,11155,species,Golden-naped Woodpecker,Melanerpes chrysauchen,,porch,CR-P,29 Apr 2026,L64365840,S329595590,,1
132,8473,species,Gray Hawk,Buteo plagiatus,,porch,CR-P,29 Apr 2026,L64365840,S329587590,,1
133,10894,species,Fiery-billed Aracari,Pteroglossus frantzii,,breakfast,CR-SJ,27 Apr 2026,L64146043,S328432375,,1
134,34442,species,Flame-colored Tanager,Piranga bidentata,,walking,CR-SJ,27 Apr 2026,L64187678,S328648265,,1
135,7921,species,Swallow-tailed Kite,Elanoides forficatus,,walking,CR-SJ,27 Apr 2026,L64190676,S328664227,,1
136,10836,species,Northern Emerald-Toucanet,Aulacorhynchus prasinus,,millar de aves,CR-C,26 Apr 2026,L63995397,S327652209,,1
137,34066,species,Tropical Parula,Setophaga pitiayumi,,camino,CR-C,25 Apr 2026,L63874547,S327098071,,1
138,11146,species,Acorn Woodpecker,Melanerpes formicivorus,,camino,CR-C,25 Apr 2026,L63874547,S327097328,,1
139,33158,species,Rufous-collared Sparrow,Zonotrichia capensis,,middle,CR-C,24 Apr 2026,L63801272,S326737726,,1
140,4260,species,Green Hermit,Phaethornis guy,,el copal,CR-C,23 Apr 2026,L63585098,S325915776,,1
141,35088,species,Bay-headed Tanager,Tangara gyrola,,el copal,CR-C,22 Apr 2026,L63585098,S325722977,,1
142,34800,species,Scarlet-rumped Tanager,Ramphocelus passerinii,,el copal,CR-C,22 Apr 2026,L63585098,S325609311,,1
143,5005,species,Snowcap,Microchera albocoronata,,el copal,CR-C,22 Apr 2026,L63585098,S325595673,,1
144,4357,species,Brown Violetear,Colibri delphinae,,el copal,CR-C,22 Apr 2026,L63585098,S325604131,,1
145,884,species,Crested Guan,Penelope purpurascens,,el copal,CR-C,22 Apr 2026,L63585098,S325702109,,1
146,17452,species,Tropical Kingbird,Tyrannus melancholicus,,bird,CR-C,21 Apr 2026,L63438946,S325032021,,1
147,11962,species,Crested Caracara,Caracara plancus,,in tree,CR-C,21 Apr 2026,L63517721,S325246247,,1
148,35022,species,Golden-hooded Tanager,Stilpnia larvata,,bird,CR-C,20 Apr 2026,L63438946,S324855656,,1
149,34933,species,Blue-gray Tanager,Thraupis episcopus,,bird,CR-C,20 Apr 2026,L63396723,S324662135,,1
150,17392,species,Social Flycatcher,Myiozetetes similis,,bird,CR-C,20 Apr 2026,L63396723,S324663641,,1
151,7724,species,Western Cattle-Egret,Ardea ibis,,bird,CR-C,20 Apr 2026,L63396723,S324653373,,1
152,10885,species,Collared Aracari,Pteroglossus torquatus,,trail,CR-C,20 Apr 2026,L63390035,S324616934,,1
153,33864,species,Great-tailed Grackle,Quiscalus mexicanus,,tree,CR-L,17 Apr 2026,L63083624,S323177838,,1
154,33632,species,Montezuma Oropendola,Psarocolius montezuma,,tree,CR-L,17 Apr 2026,L63083624,S323177100,,1
155,17368,species,Great Kiskadee,Pitangus sulphuratus,,tree,CR-L,17 Apr 2026,L63083624,S323177271,,1
156,5111,species,Rufous-tailed Hummingbird,Amazilia tzacatl,,toican,CR-A,12 Apr 2026,L62555596,S320817304,,1
157,10936,species,Keel-billed Toucan,Ramphastos sulfuratus,,toican,CR-A,11 Apr 2026,L62555596,S320404817,,1
158,10926,species,Yellow-throated Toucan,Ramphastos ambiguus,,toucan!!,CR-A,11 Apr 2026,L62542066,S320342040,,1
159,9857,species,Lesson's Motmot,Momotus lessonii,,motmot,SV-SA,01 Apr 2026,L63589443,S325616564,,1
160,13145,species,Military Macaw,Ara militaris,,mexico,MX-NLE,17 Jan 2026,L57341065,S294792961,,1
161,7832,species,Osprey,Pandion haliaetus,,fairbanksish,US-AK,12 Jul 2025,L49658556,S259300806,,1
162,32674,species,Snow Bunting,Plectrophenax nivalis,,aurora hotel,US-AK,06 Jul 2025,L49254764,S257583883,,1
163,331,species,Cackling Goose,Branta hutchinsii,,aurora hotel,US-AK,06 Jul 2025,L49254764,S257591583,,1
164,287,species,Greater White-fronted Goose,Anser albifrons,,prudhoe bay,US-AK,06 Jul 2025,L49172430,S257590815,,1
165,5697,species,Sandhill Crane,Antigone canadensis,,walk,US-AK,06 Jul 2025,L49259872,S257604388,,1
166,673,species,Ring-necked Duck,Aythya collaris,,walk,US-AK,06 Jul 2025,L49259872,S257602210,,1
167,384,species,Tundra Swan,Cygnus columbianus,,pond,US-AK,05 Jul 2025,L49173500,S257235799,,1
168,32664,species,Lapland Longspur,Calcarius lapponicus,,prudhoe bay,US-AK,05 Jul 2025,L49172430,S257232110,,1
169,6232,species,Semipalmated Sandpiper,Calidris pusilla,,water,US-AK,05 Jul 2025,L49175120,S257241242,,1
170,33124,species,Dark-eyed Junco,Junco hyemalis,,tinton,US-SD,03 Jun 2025,L46761070,S246414436,,1
171,6057,species,Short-billed Dowitcher,Limnodromus griseus,,"San Diego, California, US",US-CA,03 Dec 2022,L21703495,S123393788,,1
172,5941,species,Snowy Plover,Anarhynchus nivosus,,"San Diego, California, US",US-CA,03 Dec 2022,L21703495,S123393644,,1
173,6528,species,Western Gull,Larus occidentalis,,la jolla,US-CA,26 Nov 2022,L21639907,S123019111,,1
174,7792,species,Brown Pelican,Pelecanus occidentalis,,seal rock,US-CA,25 Nov 2022,L21638120,S123009594,,1
175,7424,species,Double-crested Cormorant,Nannopterum auritum,,seal rock,US-CA,25 Nov 2022,L21638120,S123009479,,1
176,7389,species,Brandt's Cormorant,Urile penicillatus,,seal rock,US-CA,25 Nov 2022,L21638120,S123012544,,1
177,6011,species,Hudsonian Whimbrel,Numenius hudsonicus,,torrey pines,US-CA,25 Nov 2022,L21637532,S123006430,,1
