common_name,scientific_name,feature_group
TatamÃÂ¡ Tapaculo,Scytalopus alvarezlopezi,endemic- on route
Santa Marta Tapaculo,Scytalopus sanctaemartae,endemic
Magdalena Tapaculo,Scytalopus rodriguezi,endemic
Stiles's Tapaculo,Scytalopus stilesi,endemic- on route
Brown-rumped Tapaculo,Scytalopus latebricola,endemic
Paramillo Tapaculo,Scytalopus canus,endemic- on route
Santa Marta Foliage-gleaner,Clibanornis rufipectus,endemic
Streak-capped Spinetail,Cranioleuca hellmayri,endemic
Rusty-headed Spinetail,Synallaxis fuscorufa,endemic
Silvery-throated Spinetail,Synallaxis subpudica,endemic
Yellow-headed Manakin,Chloropipo flavicapilla,endemic- on route
Chestnut-capped Piha,Lipaugus weberi,endemic
Antioquia Bristle-tyrant,Pogonotriccus lanyoni,endemic
Apical Flycatcher,Myiarchus apicalis,endemic- on route
Santa Marta Bush-tyrant,Myiotheretes pernix,endemic
San Andres Vireo,Vireo caribaeus,endemic
Santa Marta Wren,Troglodytes monticola,endemic
Apolinar's Wren,Cistothorus apolinari,endemic
Antioquia Wren,Thryophilus sernai,endemic- on route
Niceforo's Wren,Thryophilus nicefori,endemic
Hermit Wood-Wren,Henicorhina anachoreta,endemic
Munchique Wood-Wren,Henicorhina negreti,endemic- on route
Velvet-fronted Euphonia,Euphonia concinna,endemic- on route
Sierra Nevada Brushfinch,Arremon basilicus,endemic
Moustached Brushfinch,Atlapetes albofrenatus,endemic
Santa Marta Brushfinch,Atlapetes melanocephalus,endemic
Yellow-headed Brushfinch,Atlapetes flaviceps,endemic- on route
Dusky-headed Brushfinch,Atlapetes fuscoolivaceus,endemic
Antioquia Brushfinch,Atlapetes blancae,endemic
Baudo Oropendola,Psarocolius cassini,endemic- on route
Bronze-brown Cowbird,Molothrus armenti,endemic
Red-bellied Grackle,Hypopyrrhus pyrohypogaster,endemic- on route
Mountain Grackle,Macroagelaius subalaris,endemic
Santa Marta Warbler,Myiothlypis basilica,endemic
White-lored Warbler,Myiothlypis conspicillata,endemic
Yellow-crowned Whitestart,Myioborus flavivertex,endemic
Golden-fronted Whitestart,Myioborus chrysops,endemic- on route
Sooty Ant-Tanager,Habia gutturalis,endemic
Crested Ant-Tanager,Habia cristata,endemic- on route
Turquoise Dacnis,Dacnis hartlaubi,endemic- on route
Chestnut-bellied Flowerpiercer,Diglossa gloriosissima,endemic- on route
Carriker's Mountain-Tanager,Dubusia carrikeri,endemic
Santa Marta Mountain-Tanager,Anisognathus melanogenys,endemic
Multicolored Tanager,Chlorochrysa nitidissima,endemic- on route
Gold-ringed Tanager,Bangsia aureocincta,endemic- on route
Black-and-gold Tanager,Bangsia melanochlamys,endemic- on route
Long-tailed Sylph,Aglaiocercus kingii,special- on route
Toucan Barbet,Semnornis ramphastinus,special- on route
Gray-breasted Mountain-Toucan,Andigena hypoglauca,special- on route
Crimson-rumped Toucanet,Aulacorhynchus haematopygus,special- on route
Crested Quetzal,Pharomachrus antisianus,special- on route
Orange-breasted Fruiteater,Pipreola jucunda,special- on route
Golden-headed Quetzal,Pharomachrus auriceps,special- on route
Black-billed Mountain-Toucan,Andigena nigrirostris,special- on route
Sword-billed Hummingbird,Ensifera ensifera,special- on route
Andean Cock-of-the-rock,Rupicola peruvianus,special- on route
Andean Condor,Vultur gryphus,special- on route
Noble Snipe,Gallinago nobilis,special- on route
